39616	347,50	A1	att	kräva	
38967	341,81	A1		utveckling	
38925	341,44	A1		faktiskt	
38813	340,46	A1	att	ena	
38738	339,80	A1	att	svara	
38722	339,66	A1		ner	
38452	337,29	A1	att	fortsätta	
38159	334,72	A1	en	skola	
38098	334,18	A1	att	bruka	
37831	331,84	A1	ett	mål	
37805	331,61	A1	ett	par	
37665	330,39	A1		sent	
37379	327,88	A1		ekonomisk	
37144	325,82	A1		kl. (klockan)	e.g. klockan 20.00
36930	323,94	A1		dålig	
36847	323,21	A1	ett	namn	
36682	321,76	A1		igen	
36682	321,76	A1		verkligen	
36532	320,45	A1	att	mena	
36411	319,39	A1		fortfarande	
36015	315,91	A1	en	grupp	
35995	315,74	A1	ett	beslut	
35878	314,71	A1		även om	
35857	314,53	A1		enda	
35756	313,64	A1		bort	
35650	312,71	A1	att	slå	e.g. slå ihop/in/ner/upp
35423	310,72	A1		möjlig	
35342	310,01	A1		många	
35074	307,66	A1	att	hända	
35074	307,66	A1	att	ämna	e.g. ämna göra ngt
34448	302,17	A1		endast	
34382	301,59	A1	en	miljon	
33939	297,70	A1		vidare	
33671	295,35	A1		ganska	
33249	291,65	A1	ett	svar	
33219	291,39	A1		varenda	
33218	291,38	A1		istället (el. i stället)	
33101	290,35	A1		först	
33053	289,93	A1	att	arbeta	
32925	288,81	A1		heller	
32904	288,62	A1		riktigt	
32901	288,60	A1	en	hand	e.g. på egen hand, ta hand om
32831	287,98	A1	en	uppgift	
32764	287,40	A1	att	fungera (vardagl. funka)	
32671	286,58	A1	att	beta	
32389	284,11	A1	att	köpa	
32377	284,00	A1		nästan	
32337	283,65	A1		bra	
32202	282,47	A1		bland	
32015	280,83	A1		december	
31957	280,32	A1	att	sitta	
31599	277,18	A1		precis	
31458	275,94	A1		hennes	
31395	275,39	A1	att	åta sig	
31374	275,20	A1		bland annat (förk. bl.a.)	
31361	275,09	A1	ett	krig	
31347	274,97	A1		till exempel (förk. t.ex., t ex)	
31337	274,88	A1		tillsammans	
31102	272,82	A1		henne	
31027	272,16	A1		intressant	
30773	269,93	A1	ett	val	
30604	268,45	A1	en	kyrka	
30489	267,44	A1		egentligen	
30476	267,33	A1		inför	
30467	267,25	A1	en	historia	
30435	266,97	A1	ett	jobb	
30364	266,34	A1	att	berätta	
30307	265,84	A1		vanlig	
30252	265,36	A1	att	rätta	
30143	264,41	A1		januari	
30113	264,14	A1		information	
29957	262,77	A1		flest	e.g. de flesta
29701	260,53	A1		ung	
29676	260,31	A1		en	
29593	259,58	A1		tillbaka (vardagl. tillbaks)	
29489	258,67	A1	en	film	
29479	258,58	A1		ibland (el. i bland)	
29348	257,43	A1		medan (vardagl. medans)	
29253	256,60	A1	ett	slut	
29170	255,87	A1	en	massa	
28684	251,61	A1	en	tanke	
28666	251,45	A1	en	akt	
28639	251,21	A1	en	procent	
28631	251,14	A1	en	månad	
28505	250,04	A1		sista	
28490	249,91	A1	en	ätt	
28440	249,47	A1	att	sluta	
28410	249,20	A1	en	verksamhet	
28404	249,15	A1	en	rätt	
28220	247,54	A1		samtidigt	
28191	247,28	A1		emot	
27846	244,26	A1	ett	stöd	
27838	244,19	A1	en	familj	
27733	243,27	A1		vem	
27719	243,14	A1	att	åka	
27593	242,04	A1	att	betala	
27590	242,01	A1	en	kommun	
27584	241,96	A1	ett	resultat	
27578	241,91	A1	att	utveckla	
27411	240,44	A1	att	föra	
27238	238,92	A1	att	hjälpa	
27126	237,94	A1		nästa	
27089	237,62	A1		nära	
27088	237,61	A1		nej	
26745	234,60	A1	en	text	
26498	232,43	A1	ett	exempel	
26489	232,35	A1		särskilt	
26457	232,07	A1	en	debatt	
26224	230,03	A1		när det gäller	
26110	229,03	A1		på grund av (förk. p.g.a, pga., p g a)	
26109	229,02	A1	en	situation	
26056	228,56	A1		europeisk	
26005	228,11	A1	en	form	
26005	228,11	A1	en	orm	
26001	228,07	A1	ett	råd	
25998	228,05	A1		november	
25995	228,02	A1		makt	
25868	226,91	A1		social	
25837	226,63	A1	att	vinna	
25805	226,35	A1		kvar	
25733	225,72	A1	ett	system	
25713	225,55	A1	att	vänta	
25703	225,46	A1		tidig	
25521	223,86	A1	en	åtgärd	
25498	223,66	A1	ett	krav	
25497	223,65	A1	en	skillnad	e.g. till skillnad från/mot
25439	223,14	A1	en	riksdag	e.g. riksdagen
25384	222,66	A1		internationell	
25384	222,66	A1		nationell	
25307	221,99	A1	att	jobba	
24871	218,16	A1	att	klara	e.g. klara av, klara sig
24824	217,75	A1	en	typ	
24744	217,05	A1		kring	
24739	217,00	A1		båda (vardgl. bägge)	
24735	216,97	A1		cirka (förk. ca)	
24684	216,52	A1	en	tur	
24672	216,42	A1	en	polis	
24601	215,79	A1	ett	medium	
24424	214,24	A1		låg	
24415	214,16	A1		varandra (vardagl. varann)	
24389	213,93	A1	en	mun	
24337	213,48	A1	ett	ansvar	
24327	213,39	A1	en	roll	
24159	211,92	A1	en	regel	
24118	211,56	A1		oktober	
24061	211,06	A1	att	prata	
24010	210,61	A1	en	organisation	
24002	210,54	A1	en	medlem	
23994	210,47	A1	att	fråga	
23918	209,80	A1	att	anmäla	e.g. anmäla sig
23905	209,69	A1	att	nå	
23881	209,48	A1	att	bo	
23689	207,79	A1	en	krona	
23647	207,42	A1	att	stämma	
23646	207,42	A1	en	rättighet	
23633	207,30	A1		sedan (vardagl. sen)	
23567	206,72	A1		bakom	
23563	206,69	A1		efter att	
23551	206,58	A1		därmed	
23551	206,58	A1		med	
23549	206,57	A1	ett	hus	
23461	205,79	A1	en	vän	
23420	205,43	A1	att	dela	e.g. dela ut
23375	205,04	A1		februari	
23324	204,59	A1		kort	
23295	204,34	A1	en	grund	
23200	203,50	A1		runt	
23161	203,16	A1	en	framtid	
23161	203,16	A1	att	köra	
23064	202,31	A1	en	etikett	
23010	201,84	A1		fri	
22996	201,71	A1	ett	behov	
22970	201,49	A1	en	timme (el. timma)	
22950	201,31	A1		september	
22913	200,99	A1	att	hoppas	
22872	200,63	A1		ensam	
22789	199,90	A1		snart	
22646	198,64	A1		rätt	
22577	198,04	A1	att	förklara	
22565	197,93	A1	en	ledning	
22505	197,41	A1	ett	intresse	
22457	196,99	A1	att	tvinga	
22390	196,40	A1	att	påverka	
22331	195,88	A1	en	anledning	
22321	195,79	A1	att	titta	e.g. titta in/på
22278	195,42	A1	att	minska	
22263	195,28	A1		"i alla fall (el. iallafall; förk. iaf)"	
22219	194,90	A1		däremot	
22188	194,63	A1		direkt	
22149	194,28	A1	en	ekonomi	
21989	192,88	A1	att	bestämma	e.g. bestämma sig
21984	192,84	A1	att	skicka	e.g. skicka tillbaka/ut
21937	192,43	A1		trots	e.g. trots ngt
21923	192,30	A1	en	åsikt	
21904	192,14	A1	en	diskussion	
21904	192,14	A1	en	rad	
21901	192,11	A1	ett	faktum	
21878	191,91	A1	en	tidning	
21793	191,16	A1	en	mening	
21732	190,63	A1		utanför	
21716	190,49	A1		rätt	
21598	189,45	A1		gemensam	
21421	187,90	A1		klar	
21313	186,95	A1		juni	
21300	186,84	A1		is	
21255	186,44	A1	en	bil	
21230	186,22	A1	en	myndighet	
21205	186,00	A1	ett	nummer (förk. nr)	
21122	185,28	A1		allmän	
21099	185,07	A1		musik	
21069	184,81	A1	att	ändra	
21061	184,74	A1	att	träffa	
20946	183,73	A1		ihop	
20924	183,54	A1	att	diskutera	
20897	183,30	A1	att	driva	e.g. driva på
20830	182,71	A1	att	sälja	
20814	182,57	A1	att	sakna	
20793	182,39	A1	ett	program	
20685	181,44	A1		ifrån	
20446	179,35	A1	att	länka	
20428	179,19	A1		kunskap	
20370	178,68	A1		snabbt	
20265	177,76	A1		maj	
20254	177,66	A1		amerikansk	
20231	177,46	A1	att	tyda	
	177,43	A1		särskild	
